#Run	 SB0 	'+/- 	 SB1 	'+/- 	 lt_HI 	'+/- 	 lt_BGO 	'+/- 	 SB0start/s 	'+/- 	 SB0end/s 	'+/-  	 SB1start/s 	'+/- 	 SB1end/s 	'+/- 
23133	5316001	2305.65	4208114	2051.37	0.927144	0.0011587	0.963537	0.00139291	1566.83	5.11018	1613.62	5.18591	1205.8	4.48293	1281.1	4.62079
23134	5225611	2285.96	4125243	2031.07	0.932265	0.00123161	0.967607	0.00145724	1623.83	5.2023	1662.63	5.26408	1250.88	4.56597	1306.63	4.66661
23135	157685	397.096	125553	354.335	0.954655	0.00755864	0.978759	0.00816551	1684.58	5.29872	1643.93	5.23439	1286.68	4.63084	1327.45	4.70363
23136	5620069	2370.67	4419778	2102.33	0.946303	0.0013355	0.974315	0.0014409	1680.48	5.29226	1691.18	5.30909	1284.63	4.62715	1330.55	4.70912
23137	5636375	2374.11	4429246	2104.58	0.946914	0.00132582	0.974124	0.00147926	1687.85	5.30385	1681.22	5.29342	1288.7	4.63447	1321.97	4.69391
23138	5669007	2380.97	4457549	2111.29	0.945512	0.00131117	0.97324	0.0014762	1692.17	5.31063	1692.62	5.31133	1276.95	4.6133	1335.07	4.71711
23139	5548934	2355.62	4365199	2089.31	0.94473	0.00131634	0.972776	0.0014807	1705.2	5.33104	1705.1	5.33088	1298.5	4.65206	1339.72	4.72532
23140	5664797	2380.08	4451635	2109.89	0.946524	0.00132761	0.973413	0.00147662	1704.17	5.32943	1705.6	5.33167	1293.95	4.6439	1337.05	4.72061
23141	5669564	2381.08	4453395	2110.31	0.950308	0.00136498	0.975652	0.00148887	1681.28	5.29352	1704.68	5.33023	1282.97	4.62415	1342.47	4.73016
23142	5511637	2347.69	4328635	2080.54	0.942215	0.00136075	0.977349	0.00129095	1706.62	5.33326	1697.42	5.31886	1297.9	4.65099	1339.8	4.72546
23143	5029937	2242.75	3949629	1987.37	0.943571	0.00141407	0.979064	0.00136348	1697.23	5.31857	0	0	1289.45	4.63582	0.0333333	0.0235702
23145	4069898	2017.4	3187077	1785.24	0.97254	0.00167563	1.0004	0.00180962	1697.07	5.31831	1666.85	5.27075	1284.9	4.62763	1304.47	4.66274
23151	5410600	2326.07	4256134	2063.04	0.975851	0.00197595	1.00712	0.00160405	1699.47	5.32207	1547.85	5.07912	1292.78	4.64181	1260.03	4.58264
23154	407995	638.745	5505996	2346.49	0.893139	0.00157945	1.00406	0.00161926	120.1	1.4148	119.85	1.41333	1606.32	5.17416	1624.35	5.20312
23155	403293	635.054	5450751	2334.68	0.883039	0.0015159	1.00266	0.001618	119.467	1.41107	116.483	1.39334	1574.77	5.1231	1614.43	5.18722
23156	401075	633.305	5458337	2336.31	0.876832	0.00146996	1.0012	0.00161836	116	1.39044	118.233	1.40376	1570.67	5.11642	1614.17	5.18679
23157	404539	636.034	5449908	2334.5	0.87252	0.00143797	1.00105	0.00161593	117.883	1.40169	119.333	1.41028	1570.2	5.11566	1626.97	5.20731
23158	414126	643.526	5496554	2344.47	0.866514	0.00140295	1.00123	0.00155832	119.967	1.41402	117.9	1.40178	1586.98	5.14293	1630.22	5.21251
23159	409193	639.682	5347692	2312.51	0.865759	0.00142174	1.00106	0.00155489	119.533	1.41146	125	1.44338	1576.97	5.12667	1641.98	5.23129
23160	420687	648.604	5508252	2346.97	0.885269	0.00155593	1.00349	0.0015326	124.217	1.43885	121.8	1.42478	1578.32	5.12887	1657.88	5.25656
23161	419599	647.765	5570396	2360.17	0.900117	0.00164114	1.00514	0.00151696	121.017	1.42019	125.567	1.44664	1589.48	5.14698	1660.37	5.26049
23162	416492	645.362	5524422	2350.41	0.889994	0.00157571	1.00448	0.00152522	123.883	1.43691	126.65	1.45287	1602.95	5.16874	1693.83	5.31324
23163	430436	656.076	5666629	2380.47	0.882387	0.00150318	1.00303	0.00151556	127.117	1.45554	127.65	1.4586	1637.23	5.22372	1696.55	5.3175
23164	441976	664.813	5644353	2375.78	0.871614	0.00145599	1.00904	0.0012897	125.167	1.44434	133.383	1.49099	1633.15	5.2172	1680.28	5.29195
23170	163942	404.898	2102174	1449.89	0.902337	0.00269744	1.00515	0.00248632	127.933	1.46021	124.783	1.44212	1601.48	5.16637	1660.68	5.26099
23171	417962	646.5	5544560	2354.69	0.899648	0.00165486	1.00493	0.00152328	125.033	1.44357	122.05	1.42624	1591.35	5.15	1639.57	5.22744
23172	391750	625.899	5177152	2275.34	0.887463	0.00162123	1.00486	0.0015319	120.717	1.41843	124.667	1.44145	1574.77	5.1231	1654.32	5.2509
23173	412308	642.112	5542582	2354.27	0.876766	0.00149372	1.00258	0.00152973	121.5	1.42302	120.517	1.41725	1599.92	5.16384	1623.02	5.20099
23174	404335	635.873	5508493	2347.02	0.870896	0.00145658	1.00182	0.00152971	122.117	1.42663	118.717	1.40663	1591.08	5.14957	1628.93	5.21046
